Id,PostId,VoteTypeId,UserId,CreationDate,BountyAmount
"154306602","18943224","2","","2018-01-03 00:00:00",""
"154306603","9603159","2","","2018-01-03 00:00:00",""
"154306604","48069475","2","","2018-01-03 00:00:00",""
"154306605","46874931","3","","2018-01-03 00:00:00",""
"154306606","4958137","2","","2018-01-03 00:00:00",""
"154306607","48068422","3","","2018-01-03 00:00:00",""
"154306608","18795531","2","","2018-01-03 00:00:00",""
"154306609","46844414","3","","2018-01-03 00:00:00",""
"154306610","47995799","1","","2018-01-03 00:00:00",""
"154306611","5191830","2","","2018-01-03 00:00:00",""
"154306612","5191885","2","","2018-01-03 00:00:00",""
"154306613","46864508","3","","2018-01-03 00:00:00",""
"154306614","5915297","2","","2018-01-03 00:00:00",""
"154306615","48068818","10","","2018-01-03 00:00:00",""
"154306616","5915151","2","","2018-01-03 00:00:00",""
"154306617","33716005","2","","2018-01-03 00:00:00",""
"154306618","46872205","3","","2018-01-03 00:00:00",""
"154306619","47083288","3","","2018-01-03 00:00:00",""
"154306620","7954874","2","","2018-01-03 00:00:00",""
"154306621","35160997","2","","2018-01-03 00:00:00",""
"154306622","48054548","2","","2018-01-03 00:00:00",""
"154306623","48068668","10","","2018-01-03 00:00:00",""
"154306624","48069503","2","","2018-01-03 00:00:00",""
"154306625","47084899","3","","2018-01-03 00:00:00",""
"154306626","8935043","2","","2018-01-03 00:00:00",""
"154306627","47212941","3","","2018-01-03 00:00:00",""
"154306628","10862977","2","","2018-01-03 00:00:00",""
"154306629","48068018","10","","2018-01-03 00:00:00",""
"154306630","47213777","3","","2018-01-03 00:00:00",""
"154306631","46107808","10","","2018-01-03 00:00:00",""
"154306632","48069389","2","","2018-01-03 00:00:00",""
"154306633","9380458","2","","2018-01-03 00:00:00",""
"154306634","48069450","3","","2018-01-03 00:00:00",""
"154306635","38252889","5","5162155","2018-01-03 00:00:00",""
"154306636","36275756","2","","2018-01-03 00:00:00",""
"154306637","33716083","2","","2018-01-03 00:00:00",""
"154306638","47217982","3","","2018-01-03 00:00:00",""
"154306639","48069448","2","","2018-01-03 00:00:00",""
"154306640","43908614","2","","2018-01-03 00:00:00",""
"154306641","47220258","3","","2018-01-03 00:00:00",""
"154306642","17487690","2","","2018-01-03 00:00:00",""
"154306643","48069411","2","","2018-01-03 00:00:00",""
"154306644","47230765","3","","2018-01-03 00:00:00",""
"154306645","34269877","2","","2018-01-03 00:00:00",""
"154306646","48068942","10","","2018-01-03 00:00:00",""
"154306647","48025511","1","","2018-01-03 00:00:00",""
"154306648","40078490","5","8178479","2018-01-03 00:00:00",""
"154306649","47234177","3","","2018-01-03 00:00:00",""
"154306650","48067916","10","","2018-01-03 00:00:00",""
"154306651","48068954","5","1993250","2018-01-03 00:00:00",""
"154306652","31950821","2","","2018-01-03 00:00:00",""
"154306653","47235943","3","","2018-01-03 00:00:00",""
"154306654","45378114","1","","2018-01-03 00:00:00",""
"154306655","48068856","3","","2018-01-03 00:00:00",""
"154306656","48069404","2","","2018-01-03 00:00:00",""
"154306657","47241680","3","","2018-01-03 00:00:00",""
"154306658","48067822","1","","2018-01-03 00:00:00",""
"154306659","48069328","3","","2018-01-03 00:00:00",""
"154306660","48067822","2","","2018-01-03 00:00:00",""
"154306661","19301125","2","","2018-01-03 00:00:00",""
"154306662","48067491","10","","2018-01-03 00:00:00",""
"154306663","48067156","2","","2018-01-03 00:00:00",""
"154306664","19306781","2","","2018-01-03 00:00:00",""
"154306665","23761111","2","","2018-01-03 00:00:00",""
"154306666","19306974","2","","2018-01-03 00:00:00",""
"154306667","19307136","2","","2018-01-03 00:00:00",""
"154306668","33692296","2","","2018-01-03 00:00:00",""
"154306669","48069321","3","","2018-01-03 00:00:00",""
"154306670","26350273","2","","2018-01-03 00:00:00",""
"154306671","9414123","2","","2018-01-03 00:00:00",""
"154306672","26558526","2","","2018-01-03 00:00:00",""
"154306673","9414184","2","","2018-01-03 00:00:00",""
"154306674","19339317","2","","2018-01-03 00:00:00",""
